city,long,lat,kiyi,bolge,bkodu
Adana,35.32,36.995,1,akdeniz,TR621
Adiyaman,38.2799,37.7704,0,guneydogu,TRC12
Afyon,30.55,38.7504,0,ege,TR332
Agri,43.0513,39.7198,0,dogu,TRA21
Aksaray,34.0254,38.3725,0,ic,TR712
Amasya,35.833,40.6537,0,karadeniz,TR834
Ankara,32.8644,39.9272,0,ic,TR510
Antalya,30.7,36.89,1,akdeniz,TR611
Ardahan,42.7022,41.1087,0,dogu,TRA24
Artvin,41.818,41.183,1,karadeniz,TR905
Aydin,27.85,37.85,1,ege,TR321
Balikesir,27.89,39.6504,1,marmara,TR221
Bartin,32.3375,41.6358,1,karadeniz,TR813
Batman,41.14,37.8904,0,guneydogu,TRC32
Bayburt,40.2229,40.2563,0,karadeniz,TRA13
Bilecik,29.983,40.15,0,marmara,TR413
Bingol,40.498,38.885,0,dogu,TRB13
Bitlis,42.123,38.394,0,dogu,TRB23
Bolu,31.6061,40.7363,0,karadeniz,TR424
Burdur,30.2833,37.7167,0,akdeniz,TR613
Bursa,29.07,40.2,1,marmara,TR411
Canakkale,26.4064,40.1459,1,marmara,TR222
Cankiri,33.621,40.607,0,ic,TR822
Corum,34.95,40.52,0,karadeniz,TR833
Denizli,29.08,37.7704,0,ege,TR322
Diyarbakir,40.23,37.9204,0,guneydogu,TRC22
Duzce,31.1639,40.8389,1,karadeniz,TR423
Edirne,26.57,41.6704,1,marmara,TR212
Elazig,39.23,38.68,0,dogu,TRB12
Erzincan,39.4928,39.7526,0,dogu,TRA12
Erzurum,41.29,39.9204,0,dogu,TRA11
Eskisehir,30.53,39.795,0,ic,TR412
Gaziantep,37.385,37.075,0,guneydogu,TRC11
Giresun,38.39,40.913,1,karadeniz,TR903
Gumushane,39.484,40.464,0,karadeniz,TR906
Hakkari,43.7408,37.5744,0,dogu,TRB24
Hatay,36.12,36.2304,1,akdeniz,TR631
Igdir,44.045,39.9237,0,dogu,TRA23
Isparta,30.53,37.77,0,akdeniz,TR612
Istanbul,29.01,41.105,1,istanbul,TR100
Izmir,27.1518,38.4361,1,ege,TR310
Kocaeli,29.9306,40.776,1,marmara,TR421
Kahramanmaras,36.945,37.61,0,akdeniz,TR632
Karabuk,32.6,41.2,0,karadeniz,TR812
Karaman,33.215,37.1815,0,ic,TR522
Kars,43.0975,40.6085,0,dogu,TRA22
Kastamonu,33.783,41.389,1,karadeniz,TR821
Kayseri,35.49,38.735,0,ic,TR721
Kilis,37.12,36.7204,0,guneydogu,TRC13
Kirikkale,33.53,39.8504,0,ic,TR711
Kirklareli,27.226,41.743,1,marmara,TR213
Kirsehir,34.171,39.142,0,ic,TR715
Konya,32.475,37.875,0,ic,TR521
Kutahya,29.93,39.42,0,ege,TR333
Malatya,38.3,38.3704,0,dogu,TRB11
Manisa,27.44,38.6304,0,ege,TR331
Mardin,40.7427,37.3115,0,guneydogu,TRC31
Mersin,34.6128,36.8004,1,akdeniz,TR622
Mugla,28.3639,37.2164,1,ege,TR323
Mus,41.4969,38.749,0,dogu,TRB22
Nevsehir,34.724,38.624,0,ic,TR714
Nigde,34.694,37.976,0,ic,TR713
Ordu,37.8699,41.0004,1,karadeniz,TR902
Osmaniye,36.2478,37.0742,0,akdeniz,TR633
Rize,40.5219,41.0208,1,karadeniz,TR904
Sakarya,30.415,40.8,1,marmara,TR422
Samsun,36.3437,41.28,1,karadeniz,TR831
Sanliurfa,38.795,37.17,0,guneydogu,TRC21
Siirt,41.933,37.944,0,guneydogu,TRC34
Sinop,35.153,42.023,1,karadeniz,TR823
Sirnak,42.4543,37.5139,0,guneydogu,TRC33
Sivas,37.035,39.7454,0,ic,TR722
Tekirdag,27.51,40.9909,1,marmara,TR211
Tokat,36.563,40.306,0,karadeniz,TR832
Trabzon,39.72,40.98,1,karadeniz,TR901
Tunceli,39.5333,39.1167,0,dogu,TRB14
Usak,29.42,38.6804,0,ege,TR334
Van,43.4,38.4954,0,dogu,TRB21
Yalova,29.2769,40.655,1,marmara,TR425
Yozgat,34.815,39.818,0,ic,TR723
Zonguldak,31.78,41.4304,1,karadeniz,TR811
